date,opponent,venue,round,team,poss_pct,pass_acc_pct,shots,shots_on_target,fouls,corners,crosses,tackles,interceptions,long_balls,aerials_won,clearances,offsides,throw_ins,goal_kicks
2019-05-01,Liverpool,Home,Semi-finals,Barcelona,48,84,12,5,11,3,3,15,12,55,10,32,3,13,6
2019-05-01,Liverpool,Home,Semi-finals,Liverpool,52,83,15,5,15,5,18,17,12,52,16,8,1,13,6
