date,opponent,venue,round,team,poss_pct,pass_acc_pct,shots,shots_on_target,fouls,corners,crosses,tackles,interceptions,long_balls,aerials_won,clearances,offsides,throw_ins,goal_kicks
2019-02-19,Lyon,Away,Round of 16,Barcelona,63,89,25,5,11,5,15,24,12,47,8,7,1,20,6
2019-02-19,Lyon,Away,Round of 16,Lyon,37,82,5,2,13,2,11,11,18,44,11,29,0,23,16
