date,opponent,venue,round,team,poss_pct,pass_acc_pct,shots,shots_on_target,fouls,corners,crosses,tackles,interceptions,long_balls,aerials_won,clearances,offsides,throw_ins,goal_kicks
2018-10-03,Tottenham,Away,Group stage,Barcelona,61,89,13,8,9,1,2,21,11,58,6,11,3,24,6
2018-10-03,Tottenham,Away,Group stage,Tottenham,39,87,9,5,18,3,14,19,9,46,8,7,7,11,6
