date,opponent,venue,round,team,poss_pct,pass_acc_pct,shots,shots_on_target,fouls,corners,crosses,tackles,interceptions,long_balls,aerials_won,clearances,offsides,throw_ins,goal_kicks
2018-11-28,PSV,Away,Group stage,Barcelona,65,84,21,8,11,5,8,22,10,56,18,15,1,19,10
2018-11-28,PSV,Away,Group stage,PSV,35,79,23,9,16,4,15,13,13,48,21,23,1,13,14
