date,opponent,venue,round,team,poss_pct,pass_acc_pct,shots,shots_on_target,fouls,corners,crosses,tackles,interceptions,long_balls,aerials_won,clearances,offsides,throw_ins,goal_kicks
2019-04-10,Manchester United,Away,Quarter-finals,Barcelona,67,91,6,3,11,4,6,9,5,57,7,21,0,14,11
2019-04-10,Manchester United,Away,Quarter-finals,Manchester United,34,84,10,0,16,2,18,15,9,42,11,13,2,20,5
