date,opponent,venue,round,team,poss_pct,pass_acc_pct,shots,shots_on_target,fouls,corners,crosses,tackles,interceptions,long_balls,aerials_won,clearances,offsides,throw_ins,goal_kicks
2018-11-06,Inter,Away,Group stage,Barcelona,65,90,26,8,9,10,16,8,10,53,10,16,0,17,6
2018-11-06,Inter,Away,Group stage,Inter,35,83,10,2,11,3,25,22,15,49,14,25,2,12,12
